         77557986 function calls (17870 primitive calls) in 18.818 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
77540342/330   17.617    0.000   17.617    0.053 /tmp/ipykernel_290/630567185.py:6(fibonacci)
       18    1.058    0.059    1.058    0.059 {method 'poll' of 'select.epoll' objects}
        1    0.101    0.101    0.101    0.101 {built-in method time.sleep}
        1    0.022    0.022    0.022    0.022 {built-in method io.open}
       30    0.003    0.000    0.003    0.000 /opt/conda/lib/python3.10/json/decoder.py:343(raw_decode)
        1    0.001    0.001    0.001    0.001 {method '__exit__' of '_io._IOBase' objects}
        1    0.001    0.001   18.792   18.792 /tmp/ipykernel_290/630567185.py:13(process_data)
        2    0.001    0.000    0.001    0.000 {built-in method _socket.getaddrinfo}
   102/70    0.001    0.000    0.002    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sensor.py:55(record)
     1382    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/json/encoder.py:277(_iterencode_list)
        5    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
     1380    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/json/encoder.py:333(_iterencode_dict)
      123    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
     1382    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/json/encoder.py:413(_iterencode)
        1    0.000    0.000    0.002    0.002 /opt/conda/lib/python3.10/json/__init__.py:120(dump)
        9    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/zmq/sugar/socket.py:613(send)
      230    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sampled_stat.py:38(record)
       18    0.000    0.000    1.062    0.059 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:625(_poll)
      120    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/ipykernel/iostream.py:535(write)
        9    0.000    0.000    0.002    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1079(_recv)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      120    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        9    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/parser.py:80(receive_bytes)
       31    0.000    0.000    0.004    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:455(_unpack_message_set)
       66    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/frame.py:6(read)
        4    0.000    0.000    0.000    0.000 {method 'connect_ex' of '_socket.socket' objects}
      102    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sensor.py:78(_check_quotas)
       14    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1043(can_send_more)
     1434    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       18    0.000    0.000    1.058    0.059 /opt/conda/lib/python3.10/selectors.py:452(select)
        4    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:359(connect)
       17    0.000    0.000    1.065    0.063 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:550(poll)
      230    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sampled_stat.py:99(is_complete)
      230    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sampled_stat.py:52(current)
       37    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       12    0.000    0.000    1.172    0.098 /opt/conda/lib/python3.10/site-packages/kafka/consumer/group.py:665(_poll_once)
       24    0.000    0.000    0.005    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:310(fetched_records)
        7    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/frame.py:2(__init__)
     1381    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       60    0.000    0.000    0.001    0.000 {built-in method builtins.print}
       62    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
